t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
60,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
120,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
180,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
240,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
300,WS_1_0,WS_1_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
360,WS_1_0,WS_1_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
420,WS_1_0,WS_1_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
480,WS_1_0,WS_1_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
540,WS_1_0,WS_1_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
600,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
660,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
720,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
780,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
840,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
900,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
960,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1020,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1080,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1140,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1200,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1260,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1320,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1380,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1440,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1500,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1560,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1620,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1680,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1740,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1800,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1860,WS_1_0,WS_1_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
